Protein IDs,Gene names,data,term,df,sumsq,meansq,statistic,p.value,qvalue
O13297,CET1,intensity,samplingTime,1,19.16915078934128,19.16915078934128,32.226093215210604,1.3449866375099936e-6,8.288896805924875e-6
O13297,CET1,intensity,genotype,1,0.028404779151953684,0.028404779151953684,0.04775250978866058,0.8281323848647855,0.6677315468344188
O13297,CET1,intensity,nutrient,1,0.017989470986947625,0.017989470986947625,0.030242882185477472,0.862817424749537,0.6735110935885983
O13297,CET1,intensity,samplingTime:genotype,1,0.24663951720870916,0.24663951720870916,0.4146364207506727,0.5233008438689006,0.5595119188400053
O13297,CET1,intensity,samplingTime:nutrient,1,0.03742889425935908,0.03742889425935908,0.06292334222833956,0.8032178532201936,0.6620314848856023
O13297,CET1,intensity,genotype:nutrient,1,0.2969144202768992,0.2969144202768992,0.49915574716559336,0.4839666678428871,0.5380273078574299
O13297,CET1,intensity,samplingTime:genotype:nutrient,1,0.08701501052470857,0.08701501052470857,0.14628471918802985,0.7041361850889317,0.6339417027531872
O13297,CET1,normed_intensity,samplingTime,1,0.16404013863254524,0.16404013863254524,0.6959605569863463,0.4090989931886607,0.49174644496412206
O13297,CET1,normed_intensity,genotype,1,2.2399457876694072e-4,2.2399457876694072e-4,9.503246772411196e-4,0.975560545640505,0.6918095217526337
O13297,CET1,normed_intensity,nutrient,1,0.5582128145615453,0.5582128145615453,2.3682868386828626,0.13169696674991077,0.22978797728054481
O13297,CET1,normed_intensity,samplingTime:genotype,1,0.1060086759353066,0.1060086759353066,0.4497549061122513,0.5063053774251272,0.5502367263783734
O13297,CET1,normed_intensity,samplingTime:nutrient,1,0.14128646005855033,0.14128646005855033,0.5994252641863436,0.44334973656295884,0.514334785647966
O13297,CET1,normed_intensity,genotype:nutrient,1,0.013030072644463181,0.013030072644463181,0.055281693192948775,0.8153146866884757,0.664740067891414
O13297,CET1,normed_intensity,samplingTime:genotype:nutrient,1,0.14992002968230034,0.14992002968230034,0.6360542500809785,0.4298523689118061,0.5055075274391742
O13297,CET1,normed_ratio,samplingTime,1,0.7086060010116838,0.7086060010116838,10.652119051027476,0.0022554547488509284,0.007493437190932062
O13297,CET1,normed_ratio,genotype,1,0.35688133369876607,0.35688133369876607,5.3648183168378765,0.02575449973828391,0.06214058300386568
O13297,CET1,normed_ratio,nutrient,1,0.8673344143342702,0.8673344143342702,13.038203776642165,8.410150026790072e-4,0.003089365630744528
O13297,CET1,normed_ratio,samplingTime:genotype,1,0.3056984499555136,0.3056984499555136,4.595411664580306,0.038190406116583274,0.08613842635706574
O13297,CET1,normed_ratio,samplingTime:nutrient,1,0.23563822165466985,0.23563822165466985,3.5422313478213927,0.06711459442312778,0.13599660140243094
O13297,CET1,normed_ratio,genotype:nutrient,1,0.26998662023861636,0.26998662023861636,4.058573617581974,0.05070488115297869,0.10858845699702004
O13297,CET1,normed_ratio,samplingTime:genotype:nutrient,1,0.2193152771744842,0.2193152771744842,3.2968567001074196,0.0769139763934861,0.15115506429975414
