orf,gene,ThisStudy,Paulo2015
YNL197C,NA,0,1
YNL200C,NA,0,1
YNL202W,NA,0,1
YNL215W,NA,0,1
YNL223W,NA,0,1
YNL229C,NA,0,1
YNL231C,NA,0,1
YNL239W,NA,0,1
YNL240C,NA,0,1
YNL246W,NA,0,1
YNL250W,NA,0,1
YNL251C,NA,0,1
YNL256W,NA,0,1
YNL259C,NA,0,1
YNL263C,NA,0,1
YNL265C,NA,0,1
YNL271C,NA,0,1
YNL272C,NA,0,1
YNL277W,NA,0,1
YNL284C,NA,0,1
YNL288W,NA,0,1
YNL292W,NA,0,1
YNL293W,NA,0,1
YNL301C,NA,0,1
YNL302C,NA,0,1
YNL310C,NA,0,1
YNL316C,NA,0,1
YNL320W,NA,0,1
YNL321W,NA,0,1
YNL330C,NA,0,1
YNR006W,NA,0,1
YNR007C,NA,0,1
YNR013C,NA,0,1
YNR015W,NA,0,1
YNR017W,NA,0,1
YNR019W,NA,0,1
YNR022C,NA,0,1
YNR029C,NA,0,1
YNR030W,NA,0,1
YNR032C-A,NA,0,1
YNR033W,NA,0,1
YNR034W,NA,0,1
YNR038W,NA,0,1
YNR040W,NA,0,1
YNR046W,NA,0,1
YNR047W,NA,0,1
YNR049C,NA,0,1
YNR052C,NA,0,1
YOL004W,NA,0,1
YOL005C,NA,0,1
YOL009C,NA,0,1
YOL010W,NA,0,1
YOL012C,NA,0,1
YOL016C,NA,0,1
YOL018C,NA,0,1
YOL025W,NA,0,1
YOL031C,NA,0,1
YOL032W,NA,0,1
YOL033W,NA,0,1
YOL042W,NA,0,1
YOL051W,NA,0,1
YOL052C,NA,0,1
YOL053W,NA,0,1
YOL055C,NA,0,1
YOL060C,NA,0,1
YOL065C,NA,0,1
YOL066C,NA,0,1
YOL067C,NA,0,1
YOL071W,NA,0,1
YOL076W,NA,0,1
YOL077C,NA,0,1
YOL087C,NA,0,1
YOL088C,NA,0,1
YOL092W,NA,0,1
YOL093W,NA,0,1
YOL094C,NA,0,1
YOL100W,NA,0,1
YOL124C,NA,0,1
YOL126C,NA,0,1
YOL133W,NA,0,1
YOL147C,NA,0,1
YOR001W,NA,0,1
YOR018W,NA,0,1
YOR020W-A,NA,0,1
YOR035C,NA,0,1
YOR039W,NA,0,1
YOR040W,NA,0,1
YOR048C,NA,0,1
YOR054C,NA,0,1
YOR056C,NA,0,1
YOR057W,NA,0,1
YOR069W,NA,0,1
YOR076C,NA,0,1
YOR078W,NA,0,1
YOR083W,NA,0,1
YOR084W,NA,0,1
YOR090C,NA,0,1
YOR094W,NA,0,1
YOR098C,NA,0,1
YOR100C,NA,0,1
YOR108W,NA,0,1
YOR110W,NA,0,1
YOR111W,NA,0,1
YOR112W,NA,0,1
YOR113W,NA,0,1
YOR115C,NA,0,1
YOR120W,NA,0,1
YOR126C,NA,0,1
YOR131C,NA,0,1
YOR138C,NA,0,1
YOR141C,NA,0,1
YOR143C,NA,0,1
YOR152C,NA,0,1
YOR155C,NA,0,1
YOR160W,NA,0,1
YOR161C,NA,0,1
YOR163W,NA,0,1
YOR165W,NA,0,1
YOR173W,NA,0,1
YOR175C,NA,0,1
YOR180C,NA,0,1
YOR181W,NA,0,1
YOR202W,NA,0,1
YOR210W,NA,0,1
YOR211C,NA,0,1
YOR212W,NA,0,1
YOR227W,NA,0,1
YOR228C,NA,0,1
YOR229W,NA,0,1
YOR236W,NA,0,1
YOR250C,NA,0,1
YOR253W,NA,0,1
YOR267C,NA,0,1
YOR275C,NA,0,1
YOR276W,NA,0,1
YOR278W,NA,0,1
YOR280C,NA,0,1
YOR281C,NA,0,1
YOR286W,NA,0,1
YOR288C,NA,0,1
YOR289W,NA,0,1
YOR294W,NA,0,1
YOR311C,NA,0,1
YOR316C,NA,0,1
YOR321W,NA,0,1
YOR329C,NA,0,1
YOR335C,NA,0,1
YOR336W,NA,0,1
YOR352W,NA,0,1
YOR353C,NA,0,1
YOR354C,NA,0,1
YOR357C,NA,0,1
YOR358W,NA,0,1
YOR359W,NA,0,1
YOR360C,NA,0,1
YOR370C,NA,0,1
YOR371C,NA,0,1
YOR388C,NA,0,1
YPL001W,NA,0,1
YPL003W,NA,0,1
YPL015C,NA,0,1
YPL017C,NA,0,1
YPL023C,NA,0,1
YPL030W,NA,0,1
YPL036W,NA,0,1
YPL037C,NA,0,1
YPL040C,NA,0,1
YPL050C,NA,0,1
YPL054W,NA,0,1
YPL058C,NA,0,1
YPL064C,NA,0,1
YPL065W,NA,0,1
YPL067C,NA,0,1
YPL069C,NA,0,1
YPL079W,NA,0,1
YPL081W,NA,0,1
YPL084W,NA,0,1
YPL087W,NA,0,1
YPL088W,NA,0,1
YPL096W,NA,0,1
YPL099C,NA,0,1
YPL100W,NA,0,1
YPL101W,NA,0,1
YPL104W,NA,0,1
YPL105C,NA,0,1
YPL113C,NA,0,1
YPL116W,NA,0,1
YPL119C,NA,0,1
YPL125W,NA,0,1
YPL127C,NA,0,1
YPL128C,NA,0,1
YPL134C,NA,0,1
YPL135W,NA,0,1
YPL139C,NA,0,1
YPL144W,NA,0,1
YPL152W,NA,0,1
YPL153C,NA,0,1
YPL171C,NA,0,1
YPL178W,NA,0,1
YPL180W,NA,0,1
YPL186C,NA,0,1
YPL188W,NA,0,1
YPL191C,NA,0,1
YPL195W,NA,0,1
YPL196W,NA,0,1
YPL199C,NA,0,1
YPL203W,NA,0,1
YPL204W,NA,0,1
YPL206C,NA,0,1
YPL208W,NA,0,1
YPL212C,NA,0,1
YPL213W,NA,0,1
YPL214C,NA,0,1
YPL222W,NA,0,1
YPL223C,NA,0,1
YPL224C,NA,0,1
YPL229W,NA,0,1
YPL230W,NA,0,1
YPL232W,NA,0,1
YPL234C,NA,0,1
YPL247C,NA,0,1
YPL249C,NA,0,1
YPL263C,NA,0,1
YPL266W,NA,0,1
YPL270W,NA,0,1
YPL271W,NA,0,1
YPL273W,NA,0,1
YPR001W,NA,0,1
YPR002W,NA,0,1
YPR006C,NA,0,1
YPR008W,NA,0,1
YPR020W,NA,0,1
YPR025C,NA,0,1
YPR026W,NA,0,1
YPR032W,NA,0,1
YPR034W,NA,0,1
YPR037C,NA,0,1
YPR040W,NA,0,1
YPR047W,NA,0,1
YPR051W,NA,0,1
YPR055W,NA,0,1
YPR058W,NA,0,1
YPR063C,NA,0,1
YPR067W,NA,0,1
YPR072W,NA,0,1
YPR081C,NA,0,1
YPR082C,NA,0,1
YPR086W,NA,0,1
YPR088C,NA,0,1
YPR089W,NA,0,1
YPR091C,NA,0,1
YPR097W,NA,0,1
YPR100W,NA,0,1
YPR113W,NA,0,1
YPR125W,NA,0,1
YPR128C,NA,0,1
YPR131C,NA,0,1
YPR134W,NA,0,1
YPR135W,NA,0,1
YPR140W,NA,0,1
YPR149W,NA,0,1
YPR161C,NA,0,1
YPR169W,NA,0,1
YPR172W,NA,0,1
YPR173C,NA,0,1
YPR176C,NA,0,1
YPR180W,NA,0,1
YPR185W,NA,0,1
